시군명,사업장명,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,폐업일자,소재지시설전화번호,소재지면적정보,도로명우편번호,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도,업태구분명정보,X좌표값,Y좌표값,점포구분명
고양시,세이브존,19980924,,1,정상영업,,031-978-9000,13513.27,10500,"경기도 고양시 덕양구 화정로 52, 세이브존 (화정동)",경기도 고양시 덕양구 화정동 970번지 세이브존,10500,37.6342765,126.8313478,그 밖의 대규모점포,185048.426384758    ,459123.51978397     ,대규모점포
고양시,롯데아울렛 고양점,20161028,,1,정상영업,,031-8034-2930,16529.11,,경기도 고양시 덕양구 권율대로 420 (도내동),경기도 고양시 덕양구 도내동 1003번지,10551,37.6294711,126.8630670,쇼핑센터,187919.327574348    ,558895.2705657      ,대규모점포
고양시,이마트 풍산점,20121121,,1,정상영업,,02-380-9414,12545,10311,경기도 고양시 일산동구 무궁화로 237 (중산동),경기도 고양시 일산동구 중산동 1809번지,10311,37.6738948112,126.7871031801,대형마트,181149.682181138    ,463521.801944649    ,대규모점포
고양시,롯데쇼핑(주) 롯데백화점 일산점,20070501,,1,정상영업,,"909-2500, 2803",34419,410738,"경기도 고양시 일산동구 중앙로 1283 (장항동, 롯데백화점일산점)",경기도 고양시일산동구 장항동 784호,10401,37.6604725838,126.7720959057,백화점,179812.331183859    ,462059.506265122    ,대규모점포
고양시,홈플러스(주)익스프레스 탄현점,20120322,,1,정상영업,,031-916-8545,363,411840,경기도 고양시 일산서구 일현로 123 (탄현동),경기도 고양시 일산서구 탄현동 139번지 32호,411320,37.6978513,126.7653459,구분없음,179240.700409735    ,466193.295792191    ,준대규모점포
고양시,홈플러스(주) 킨텍스점,20100804,,1,정상영업,,031-932-1558,20138,411410,경기도 고양시 일산서구 호수로 817 (대화동),경기도 고양시 일산서구 대화동 2602번지,411410,37.6679786706,126.7516242854,대형마트,178006.080301401    ,462865.812502378    ,대규모점포
고양시,(주)이마트 킨텍스 쇼핑센타,20130124,,1,정상영업,,02  380  946,27094.76,10390,"경기도 고양시 일산서구 킨텍스로 171 (대화동, 이마트타운)",경기도 고양시 일산서구 대화동 2703번지,10390,37.6615673830,126.7441037261,대형마트,177349.707402843    ,462162.606173795    ,대규모점포
고양시,해태쇼핑타운,19980117,,1,정상영업,,976-8552,4609.84,,,경기도 고양시일산서구 일산동 1561-1호,,,,그 밖의 대규모점포,,,
고양시,올리브상가,19980613,,1,정상영업,,031-901-5414,11890,,경기도 고양시 일산동구 중앙로 1130 (마두동),경기도 고양시일산동구 마두동 806번지,410350,37.6496066,126.7802078,그 밖의 대규모점포,180539.609005671    ,460835.850681465    ,대규모점포
고양시,뉴코아 아울렛 일산점,19960426,,1,정상영업,,031-900-5501,22291.47,410731,"경기도 고양시 일산동구 중앙로 1206 (마두동, 뉴코아백화점일산점)",경기도 고양시일산동구 마두동 797호,10414,37.6545799678,126.7768241412,그 밖의 대규모점포,180259.17           ,461406.409999999    ,대규모점포
고양시,요진타워,19970609,,1,정상영업,,031-978-0030,5371.17,,경기도 고양시 덕양구 화신로260번길 57 (화정동),경기도 고양시덕양구 화정동 973호,10500,37.6334945,126.8326751,그 밖의 대규모점포,185166.687145694    ,459037.825613683    ,대규모점포
고양시,롯데백화점 일산점,19990920,,1,정상영업,,031 9092701,,,,경기도 고양시일산동구 장항동 784-2호   ,,,,백화점,,,
고양시,한솔코아,19980205,,1,정상영업,,915-0 811,10126.54,,경기도 고양시 일산서구 중앙로 1406 (주엽동),경기도 고양시일산서구 주엽동 72-2호,10386,37.6692697,126.7638275,그 밖의 대규모점포,,,
고양시,롯데쇼핑(주) 롯데슈퍼일산점,20120326,,1,정상영업,,031-976-5603,1119.2,410831,경기도 고양시 일산동구 고봉로 250 (중산동),경기도 고양시 일산동구 중산동 1669번지 3호,410831,37.6816119593,126.7785124016,구분없음,180396.246472763    ,464432.961173643    ,준대규모점포
고양시,홈플러스(주) 익스프레스 고양토당점,20130604,,1,정상영업,,031-978-8560,302.3,412821,경기도 고양시 덕양구 지도로35번길 12-3 (토당동),경기도 고양시 덕양구 토당동 387번지 1호,412818,37.6207518696,126.8237246006,구분없음,184353.219963187    ,457627.740291999    ,준대규모점포
고양시,웨스턴돔,20070416,,1,정상영업,,031 9328408,32905.73,,경기도 고양시 일산동구 정발산로 24 (장항동),경기도 고양시일산동구 장항동 867호,10403,37.6557984,126.7719280,쇼핑센터,179810.178969729    ,461526.164368873    ,
고양시,홈플러스(주) 익스프레스 후곡점,20120329,,1,정상영업,,031-913-8545,320.4,411827,"경기도 고양시 일산서구 일산로 530, 1층 4호 (일산동)",경기도 고양시 일산서구 일산3동 1080번지 모아프라자  104호,411827,37.6774980239,126.7690945560,구분없음,179561.662632651    ,463924.147534329    ,준대규모점포
고양시,코스트코 홀세일 일산점,20080102,,1,정상영업,,031-904-3300,14989,,경기도 고양시 일산동구 장백로 25 (백석동),경기도 고양시일산동구 백석동 1312번지,410360,37.6407745,126.7885164,대형마트,181269.282136063    ,459854.286250466    ,대규모점포
고양시,대우로얄마트,19960524,,1,정상영업,,031-905-4501,4026,10422,"경기도 고양시 일산동구 중앙로 1129 (장항동, 호수마을1단지아파트)",경기도 고양시 일산동구 장항동 902번지,10422,37.6488301,126.7792923,그 밖의 대규모점포,180458.844874681    ,460748.278360947    ,대규모점포
고양시,고양 원마운트,20130313,,1,정상영업,,1566-2232,31767.45,411802,경기도 고양시 일산서구 한류월드로 300 (대화동),경기도 고양시 일산서구 대화동 300번지,411802,37.6643761,126.7544363,복합쇼핑몰,178268.135568909    ,462480.734362689    ,대규모점포
고양시,홈플러스 익스프레스 고양성사점,20120403,,1,정상영업,,031-968-8545,399.59,412806,경기도 고양시 덕양구 호국로 822 (성사동),경기도 고양시 덕양구 성사1동 501번지 2호 명지캐럿  101호,412806,37.6585311826,126.8388461306,구분없음,185710.90617803     ,461803.393283108    ,준대규모점포
고양시,그랜드백화점일산점,19961115,,1,정상영업,,917-0144,18957.13,,경기도 고양시 일산서구 중앙로 1436 (주엽동),경기도 고양시일산서구 주엽동 22호,10387,37.6709039,126.7611019,백화점,178859.791398959    ,463205.227173138    ,대규모점포
고양시,홈플러스 익스프레스 후곡2점,20120403,,1,정상영업,,031-923-8543,380.36,411827,경기도 고양시 일산서구 일산로 571 (일산동),경기도 고양시 일산서구 일산3동 1060번지 뉴시티프라자 1층,411827,37.6787670,126.7644092,구분없음,179151.981593488    ,464076.049428838    ,준대규모점포
고양시,(주)이마트에브리데이 일산2호점,20120601,,1,정상영업,,,997.28,411852,경기도 고양시 일산서구 일청로 46 (일산동),경기도 고양시 일산서구 일산동 588번지 1호,411852,37.6877423505,126.7728728924,구분없음,179899.116192876    ,465058.323539311    ,준대규모점포
고양시,라페스타,20030701,,1,정상영업,,031-920-9600,28608,410837,"경기도 고양시 일산동구 중앙로 1305-56, D동 3층 1호 (장항동)",경기도 고양시 일산동구 장항동 765번지 라페스타 쇼핑몰  D동 301-1호,410380,37.6610259,126.7683192,그 밖의 대규모점포,179468.243313613    ,462123.032607408    ,대규모점포
고양시,홈플러스(주) 익스프레스 탄현2점,20120322,,1,정상영업,,031-917-8545,189,411320,경기도 고양시 일산서구 산현로17번길 9 (탄현동),경기도 고양시 일산서구 탄현동 1576번지 5호,411320,37.6900357343,126.7633571965,구분없음,179058.795          ,465330.68           ,준대규모점포
고양시,뉴서울프라자,19911118,,1,정상영업,,031 914 0300,7334.79,,경기도 고양시 일산서구 중앙로 1371 (주엽동),경기도 고양시일산서구 주엽동 81호,10366,37.6666253,126.7660121,그 밖의 대규모점포,179290.502288104    ,462727.239411742    ,대규모점포
고양시,롯데쇼핑(주) 롯데마트 화정점,20010526,,1,정상영업,,"947-2500, 930-2011",6916.04,412827,경기도 고양시 덕양구 화중로 66 (화정동),경기도 고양시덕양구 화정동 982호,10500,37.6329529662,126.8311167607,대형마트,185024.681774615    ,458969.125315118    ,대규모점포
고양시,(주)이마트 화정점,19970129,,1,정상영업,,0319951052,8988,412749,"경기도 고양시 덕양구 백양로 79 (화정동, 이마트)",경기도 고양시덕양구 화정동 976번지,412270,37.6326864598,126.8333971579,대형마트,185226.158241731    ,458936.976683497    ,대규모점포
고양시,홈플러스테스코 일산점,19980917,,1,정상영업,,0319069100,12733.77,,경기도 고양시 일산동구 중앙로1275번길 64 (장항동),경기도 고양시일산동구 장항동 755번지,410380,37.6589637,126.7688243,대형마트,179536.212704008    ,461876.531597015    ,
고양시,롯데아울렛 고양터미널점,20130724,,1,정상영업,,936-7740,21623,10450,"경기도 고양시 일산동구 중앙로 1036 (백석동, 베스트 고양터미널)",경기도 고양시 일산동구 백석동 1242번지,10450,37.6431641,126.7896540,복합쇼핑몰,181369.967204096    ,460117.354561195    ,대규모점포
고양시,레이킨스몰,20100826,,1,정상영업,,0319121170,7121,411410,경기도 고양시 일산서구 호수로 817 (대화동),경기도 고양시 일산서구 대화동 2602번지,411410,37.6679645,126.7513867,그 밖의 대규모점포,178006.080301401    ,462865.812502378    ,대규모점포
고양시,포리치,19980613,,1,정상영업,,919-5857,7733,,경기도 고양시 일산서구 중앙로 1376 (주엽동),경기도 고양시일산서구 주엽동 75번지,411370,37.6673210,126.7670186,그 밖의 대규모점포,179379.074360347    ,462805.739928927    ,
고양시,이케아 고양점,20161028,,1,정상영업,,02-310-8700,25226.79,10551,"경기도 고양시 덕양구 권율대로 420 (도내동, 이케아고양점)",경기도 고양시 덕양구 도내동 1003번지,10551,37.6302998623,126.8629295118,전문점,187919.327574348    ,558895.2705657      ,대규모점포
고양시,홈플러스(주) 고양터미널점,20110615,,1,정상영업,,031-960-8264,18422.06,410816,경기도 고양시 일산동구 중앙로 1036-0 (백석동),경기도 고양시 일산동구 백석동 1242번지,410816,37.6431934574,126.7897203592,대형마트,181369.967204096    ,460117.354561195    ,대규모점포
고양시,롯데쇼핑(주) 롯데마트 주엽점,20000110,,1,정상영업,,"910-3312,3315,3323",9665,411748,"경기도 고양시 일산서구 중앙로 1496 (주엽동, 문촌마을11단지아파트)",경기도 고양시일산서구 주엽동 15호,10379,37.6731569387,126.7552122529,대형마트,178348.883331191    ,463464.183725362    ,대규모점포
고양시,현대백화점 킨텍스점,20100713,,1,정상영업,,031 822 2233,37832.73,10391,경기도 고양시 일산서구 호수로 817 (대화동),경기도 고양시 일산서구 대화동 2602번지,10391,37.6679786706,126.7516242854,백화점,178006.080301401    ,462865.812502378    ,대규모점포
고양시,뉴삼창마트,19961231,,1,정상영업,,031 9037888,5768.57,,,"경기도 고양시일산동구 마두동 802,3호",10414,,,그 밖의 대규모점포,,,대규모점포
고양시,롯데쇼핑(주) 롯데마트 고양점,19961010,,1,정상영업,,"930-7000,7010",5978,412721,경기도 충장로 150 (롯데마트고양점),경기도 고양시 덕양구 행신동 941번지,412220,37.6251114,126.8361265,대형마트,185469.285638831    ,458105.907013269    ,대규모점포
고양시,두진레이크,20150306,,1,정상영업,,031 912 6011,4162,411742,경기도 고양시 일산서구 중앙로 1391-0 (주엽동),경기도 고양시 일산서구 주엽동 83번지,412290,37.6677395,126.7645465,그 밖의 대규모점포,179162.766413313    ,462851.25056701     ,대규모점포
고양시,홈플러스(주) 익스프레스 고양덕이점,20120315,,3,폐업처리,20200204,9148562,222.4,411809,경기도 고양시 일산서구 하이파크3로78번길 1 (덕이동),경기도 고양시 일산서구 덕이동 1541번지,411809,37.6986011900,126.7532449478,구분없음,178172              ,466284              ,준대규모점포
고양시,롯데쇼핑(주) 롯데슈퍼 일산후곡점,20120326,,3,폐업처리,20150601,031-912-5602,295.93,411827,경기도 고양시 일산서구 일산로 541 (일산동),경기도 고양시 일산서구 일산3동 1084번지 1호,411827,37.6773769,126.7675763,구분없음,179430.491672366    ,463922.29396786     ,준대규모점포
고양시,(주)이마트 덕이점,19961226,,3,폐업처리,20190320,031 927 1234,11810.25,411808,경기도 고양시 일산서구 경의로 798 (덕이동),경기도 고양시일산서구 덕이동 203번지,411450,37.6884620,126.7602627,대형마트,178741              ,465182              ,대규모점포
고양시,(주)이마트에브리데이 일산동점,20120120,,3,폐업처리,20170522,031-975-8400,1016,411850,경기도 고양시 일산서구 원일로 69 (일산동),경기도 고양시 일산서구 일산동 606번지 1호 시티프라자 1층,411850,37.6867340,126.7701542,구분없음,179661.530305725    ,464960.066910531    ,준대규모점포
고양시,원당종합시장,19830128,,3,폐업처리,20150302,0344 9625422,0,,경기도 고양시 덕양구 호국로790번길 10 (성사동),경기도 고양시덕양구 성사동 698-2호,10464,37.6559885,126.8366807,그 밖의 대규모점포,,,
고양시,주식회사 이랜드리테일,20061103,,2,휴업처리,,,12733.77,,경기도 고양시 일산동구 중앙로1275번길 64 (장항동),경기도 고양시일산동구 장항동 755호   ,10401,37.6589637,126.7688243,대형마트,179536.212704008    ,461876.531597015    ,
고양시,현대프리젠트프라자,19970705,,2,휴업처리,,0344 9015678,,,경기도 고양시 일산동구 중앙로 1171 (장항동),경기도 고양시일산동구 장항동 895호   ,10414,37.6513224,126.7775171,그 밖의 대규모점포,180301.698161064    ,461028.179194405    ,
고양시,아워스몰,20011015,,2,휴업처리,,,,,경기도 고양시 일산동구 중앙로 1130 (마두동),경기도 고양시일산동구 마두동 806호   ,10422,37.6496066,126.7802078,그 밖의 대규모점포,180539.609005671    ,460835.850681465    ,
고양시,월마트슈퍼센터,20050429,,2,휴업처리,,,0,,경기도 고양시 덕양구 백양로 79 (화정동),경기도 고양시덕양구 화정동 976호   ,10500,37.6325765,126.8333682,그 밖의 대규모점포,185226.158241731    ,458936.976683497    ,
고양시,라페스타,20030721,,2,휴업처리,,,28608.65,,,경기도 고양시일산동구 장항동 766외 23필지호   ,,,,그 밖의 대규모점포,,,
고양시,뉴코아백화점,20040906,,2,휴업처리,,0344 9005501,0,,경기도 고양시 일산동구 중앙로 1206 (마두동),경기도 고양시일산동구 마두동 797호   ,10414,37.6547451,126.7770194,대형마트,180259.17           ,461406.409999999    ,
고양시,(주)지에스리테일지에스마트고양점,19961115,,2,휴업처리,,0344 9307010,,,경기도 고양시 덕양구 충장로 150 (행신동),경기도 고양시덕양구 행신동 941호   ,10495,37.6251114,126.8361265,그 밖의 대규모점포,185469.285638831    ,458105.907013269    ,
고양시,월마트슈퍼센터화정점,19970129,,2,휴업처리,,031 9301210,,,경기도 고양시 덕양구 백양로 79 (화정동),경기도 고양시덕양구 화정동 976호   ,10500,37.6325765,126.8333682,대형마트,185226.158241731    ,458936.976683497    ,
고양시,롯데쇼핑(주) VIC마켓 킨텍스점,20140722,,2,휴업처리,,02-2145-8455,19834.8,10391,"경기도 고양시 일산서구 주엽로 79 (대화동, 롯데마트빅마켓일산킨텍스점)",경기도 고양시 일산서구 대화동 1050번지 171호,10391,37.6672704473,126.7536496647,대형마트,178207.798502925    ,462784.587737594    ,대규모점포
고양시,월마트코리아,20050429,,2,휴업처리,,,0,,경기도 고양시 일산서구 경의로 798 (덕이동),경기도 고양시일산서구 덕이동 203번지 1호   ,10238,37.6879567,126.7599355,그 밖의 대규모점포,178760.034309099    ,465096.559170889    ,
고양시,한양2차상가,20011015,,2,휴업처리,,,,,경기도 고양시 일산서구 중앙로 1376 (주엽동),경기도 고양시일산서구 주엽동 75호   ,10366,37.6673210,126.7670186,그 밖의 대규모점포,179379.074360347    ,462805.739928927    ,
과천시,과천2차종합상가,19890404,,1,정상영업,,02 5020223,,,,경기도 과천시 원문동 4호   ,13835,37.4205780,126.9922516,그 밖의 대규모점포,199247.946796833    ,435394.511194376    ,
과천시,과천3차현대종합상가,19890303,,1,정상영업,,02 5022910,,,,경기도 과천시 별양동 52호   ,13833,37.4282189,126.9986113,그 밖의 대규모점포,199812.128563146    ,436237.650810359    ,
과천시,이마트과천점,20150317,,1,정상영업,,02-380-9396,9798,427800,경기도 과천시 별양상가3로 11-0 (별양동),경기도 과천시 별양동 1-19번지,13837,37.4262633755,126.9918692595,대형마트,199176              ,436017              ,대규모점포
과천시,새서울프라자,19980206,,1,정상영업,,02 5035911,0,,경기도 과천시 별양상가2로 20 (별양동),경기도 과천시 별양동 1번지 18호,13837,37.4268251693,126.9925549060,그 밖의 대규모점포,199271.515          ,436077.66           ,대규모점포
과천시,(주)지에스리테일 과천8점,20120823,,1,정상영업,,0220063059,677.22,427804,경기도 과천시 부림로 2 (부림동),경기도 과천시 부림동 41번지 복합상가 제라동,427804,37.4346249039,126.9995782585,구분없음,199860.923298645    ,437044.091681453    ,준대규모점포
과천시,GS THE FRESH 과천자이점,20220106,,1,정상영업,,022062678,370.2,13833,"경기도 과천시 별양로 142, 131~144호 (별양동)",경기도 과천시 별양동 52,13833,37.4303229148,126.9989965421,그 밖의 대규모점포,199812.128563146    ,436237.650810359    ,준대규모점포
과천시,롯데쇼핑(주)롯데슈퍼 새서울점,20120521,,1,정상영업,,02-507-1574,605.2,427800,"경기도 과천시 별양상가2로 20 (별양동, 새서울프라자 지하)",경기도 과천시 별양동 1번지 18호,427040,37.4268251693,126.9925549060,구분없음,199271.515          ,436077.66           ,준대규모점포
과천시,(주)지에스리테일 과천3점,20120521,,1,정상영업,,0269337200,1021.67,427739,경기도 과천시 별양로 28 (원문동),경기도 과천시 원문동 4번지 래미안슈르 상가 지하 1층,427739,37.4205780,126.9922516,그 밖의 대규모점포,199247.946796833    ,435394.511194376    ,준대규모점포
과천시,뉴코아아울렛과천지점,19961221,,3,폐업처리,20141120,025095000,10954,427705,"경기도 과천시 별양상가3로 11 (별양동, 뉴코아)",경기도 과천시 별양동 1번지 19호,13837,37.4262182,126.9918102,쇼핑센터,199209.021144538    ,436019.965418918    ,대규모점포
과천시,과천제일쇼핑센터시장,20051202,,2,휴업처리,,,8577.32,,경기도 과천시 별양상가2로 14 (별양동),경기도 과천시 별양동 1번지 13호   ,13837,37.4272455,126.9929511,그 밖의 대규모점포,199310.960632204    ,436133.924232434    ,
광명시,광명역세권택지개발지구복합단지판매시설D멀티플렉스AK PLAZA,20210305,,5,영업개시전,,031-780-8436,28985.96,,,경기도 광명시 일직동 512-3,,,,쇼핑센터,,,
광명시,광명시장,19701221,,1,정상영업,,0226140006,0,,경기도 광명시 오리로 974,경기도 광명시 광명동 150번지 17  호,14220,37.4794836811,126.8551503054,그 밖의 대규모점포,187121.814096632    ,441941.71901327     ,준대규모점포
광명시,AK PLAZA 광명점,20210305,,1,정상영업,,031-780-8436,28985.96,14345,경기도 광명시 양지로 17(일직동),경기도 광명시 일직동 512-3,14345,37.4186779767,126.8828875175,쇼핑센터,,,대규모점포
광명시,홈플러스 익스프레스 광명점,20140911,,1,정상영업,,02-2060-8545,196.36,423819,경기도 광명시 도덕로 28 (광명동),경기도 광명시 광명동 738번지,14282,37.4681094300,126.8510663876,구분없음,186757.062267858    ,440665.313317485    ,준대규모점포
광명시,뉴코아 아울렛 광명점,20060111,,1,정상영업,,02-3397-2508,13047.87,423848,경기도 광명시 하안로287번길 8 (하안동),경기도 광명시 하안동 38호,14305,37.4612156000,126.8798921472,쇼핑센터,189263.012417786    ,439900.831295813    ,대규모점포
광명시,롯데몰 광명점,20141126,,1,정상영업,,02-771-2500,39420.7,423090,경기도 광명시 일직로 17 (일직동),경기도 광명시 일직동 500번지,423090,37.4242749767,126.8827963758,쇼핑센터,189614.445275824    ,435789.263977272    ,대규모점포
광명시,파보레 쇼핑몰,20071217,,1,정상영업,,02-2067-7080,8812,423033,경기도 광명시 철산로 4 (철산동),경기도 광명시 철산동 261번지,423030,37.4752632034,126.8671319861,쇼핑센터,188175.811151552    ,441461.453719641    ,대규모점포
광명시,크로앙스,20040903,,1,정상영업,,02-2067-8000,7765.32,423013,경기도 광명시 오리로 970 (광명동),경기도 광명시 광명동 150번지 19호,14220,37.4793760,126.8555688,그 밖의 대규모점포,187160.878836654    ,441928.35248108     ,대규모점포
광명시,골든힐시장,19920511,,1,정상영업,,0280911114,,,경기도 광명시 범안로 1056 (하안동),경기도 광명시 하안동 53번지 1   호   ,14306,37.4623483,126.8802091,그 밖의 대규모점포,,,
광명시,이케아 광명점,20140725,,1,정상영업,,02-310-8700,27668.48,423090,경기도 광명시 일직로 17 (일직동),경기도 광명시 일직동 500번지,14352,37.4240770,126.8834009,전문점,,,대규모점포
광명시,광명한진타운시장,20040412,,1,정상영업,,2689-9232,6014.2,423704,경기도 광명시 광명로 877 (광명동),경기도 광명시 광명4동 200번지 6호,423704,37.4776778,126.8521013,그 밖의 대규모점포,186852.342575003    ,441740.296281231    ,대규모점포
광명시,(주)이마트 메트로 광명점,20110915,,1,정상영업,,2067-8784,1279.03,423010,경기도 광명시 오리로 970 (광명동),경기도 광명시 광명3동 150번지 19호 광명크로앙스 지하 2층,423808,37.4794646202,126.8556619346,구분없음,187160.878836654    ,441928.35248108     ,준대규모점포
광명시,(주) 이마트 광명소하점,20100429,,1,정상영업,,02-6918-1234,14847.87,423051,경기도 광명시 소하로 97 (소하동),경기도 광명시 소하1동 1339번지 3호,423051,37.4465293847,126.8844789638,대형마트,189714.449800306    ,438279.937828733    ,대규모점포
광명시,GS수퍼마켓 광명점,20140911,,1,정상영업,,022685-4589,273.9,423818,경기도 광명시 도덕로 33 (광명동),경기도 광명시 광명동 739-8번지,14280,37.4685411,126.8516562,구분없음,186812.04202089     ,440726.972266678    ,준대규모점포
광명시,코스트코 홀세일 광명점,20111017,,1,정상영업,,02-2083-3723,13736.11,423052,"경기도 광명시 일직로 40 (일직동, costco 광명점)",경기도 광명시 일직동 163번지 3호,423090,37.4206292,126.8864001,대형마트,189879.016911221    ,435405.506505777    ,대규모점포
광명시,철산중앙시장,20050310,,1,정상영업,,02  26878624,0,,,경기도 광명시 철산동 440호,14239,37.4747894,126.8703195,그 밖의 대규모점포,188462.902581502    ,441418.706981087    ,
광명시,세이브존 광명점,20021023,,1,정상영업,,02-6332-9000,9403,14243,"경기도 광명시 철망산로 87 (철산동, 세이브존)",경기도 광명시 철산동 367번지,14243,37.4721292,126.8764513,쇼핑센터,189007.571466503    ,441119.364083859    ,대규모점포
광명시,철산중앙시장,20070706,,1,정상영업,,02-2060-5966,3779.85,14239,"경기도 광명시 철산로30번길 15 (철산동, 철산시장)",경기도 광명시 철산동 440번지,14239,37.4747894,126.8703195,그 밖의 대규모점포,188462.902581502    ,441418.706981087    ,대규모점포
광명시,중앙하이츠시장,19931217,,3,폐업처리,20140707,02 7048001,899.44,,경기도 광명시 도덕로 56 (광명동),경기도 광명시 광명동 732호,14278,37.4689328,126.8550128,그 밖의 대규모점포,187107.680975993    ,440768.476954742    ,
광명시,철산중앙시장,19870511,,3,폐업처리,20090901,02 6878654,0,,,경기도 광명시 철산동 440호,14239,37.4747894,126.8703195,그 밖의 대규모점포,188462.902581502    ,441418.706981087    ,
광명시,맥슨컨설팅,19930420,,3,폐업처리,20090901,02 8940091,1664.12,,경기도 광명시 하안로288번길 15 (하안동),경기도 광명시 하안동 61번지 1   호,14306,37.4621241,126.8812380,그 밖의 대규모점포,189427.533159562    ,440012.59825587     ,
광명시,한신코아백화점광명점,19921215,,3,폐업처리,20090901,0226199102,61,,,경기도 광명시 철산동 367호,14243,37.4721292,126.8764513,백화점,189007.571466503    ,441119.364083859    ,
광명시,이천일아울렛 광명점,20050420,,2,휴업처리,,02  899 2001,9475.16,,경기도 광명시 하안로287번길 8 (하안동),경기도 광명시 하안동 38호   ,14305,37.4611311,126.8793747,그 밖의 대규모점포,189263.012417786    ,439900.831295813    ,
광명시,광명한진타운시장,19961204,,2,휴업처리,,02 6899232,,,,경기도 광명시 광명동 200번지 4   호   ,,,,그 밖의 대규모점포,,,
